side,entry_idx,entry_date,entry_price,units,risk_frac,conf_strength,exit_idx,exit_date,exit_price,exit_reason,pct_ret
long,3304,2024-03-04 22:00:00+00:00,2124.0615,0.059360346858106275,0.012638033123819087,0.1319016561909543,3308.0,2024-03-05 02:00:00+00:00,2119.1398511962893,sl,-4.186624500316144e-05
long,3309,2024-03-05 03:00:00+00:00,2121.960352294922,0.0623297247233935,0.01325765241939775,0.16288262096988748,3313.0,2024-03-05 07:00:00+00:00,2121.638601196289,sl,-1.528085748652331e-05
long,3314,2024-03-05 08:00:00+00:00,2129.964352294922,0.06209455262731343,0.01325765241939775,0.16288262096988748,3343.0,2024-03-06 08:00:00+00:00,2132.1333511962894,sl,2.434556083171164e-07
long,3344,2024-03-06 09:00:00+00:00,2137.768301147461,0.06186789077942993,0.01325765241939775,0.16288262096988748,3345.0,2024-03-06 10:00:00+00:00,2132.733148803711,sl,-4.442344171417146e-05
long,3347,2024-03-06 12:00:00+00:00,2143.371198852539,0.061703423293341844,0.01325765241939775,0.16288262096988748,3353.0,2024-03-06 16:00:00+00:00,2155.321702392578,tp,6.106048925024877e-05
long,3354,2024-03-06 16:30:00+00:00,2155.8773267211914,0.0580788909808187,0.012550927514521817,0.12754637572609084,3380.0,2024-03-07 14:00:00+00:00,2160.319202392578,sl,1.3349219165178744e-05
long,3381,2024-03-07 14:30:00+00:00,2162.230477294922,0.05831091291287538,0.012638033123819087,0.1319016561909543,3399.0,2024-03-08 02:00:00+00:00,2161.4187500000003,sl,-1.73933616416248e-05
long,3400,2024-03-08 03:00:00+00:00,2165.7823011474607,0.06106840970416566,0.01325765241939775,0.16288262096988748,3412.0,2024-03-08 14:30:00+00:00,2179.9594017944337,tp,7.40816089221447e-05
long,3413,2024-03-08 15:00:00+00:00,2185.292051147461,0.057698823448899955,0.012638033123819087,0.1319016561909543,3419.0,2024-03-08 18:00:00+00:00,2180.109351196289,sl,-4.2552221235156505e-05
long,3420,2024-03-08 18:30:00+00:00,2183.341125,0.060579196292179296,0.01325765241939775,0.16288262096988748,3477.0,2024-03-11 01:00:00+00:00,2185.7066488037112,sl,1.1085535824940631e-06
long,3480,2024-03-11 04:00:00+00:00,2188.193647705078,0.05761992536091314,0.012638033123819087,0.1319016561909543,3481.0,2024-03-11 05:00:00+00:00,2183.507797607422,sl,-3.965603751091396e-05
long,3483,2024-03-11 07:00:00+00:00,2189.894448852539,0.05757289112627349,0.012638033123819087,0.1319016561909543,3484.0,2024-03-11 08:00:00+00:00,2182.608101196289,sl,-5.4560624057887715e-05
long,3486,2024-03-11 10:00:00+00:00,2185.192147705078,0.05742891934389758,0.01258004628846818,0.12900231442340893,3509.0,2024-03-12 02:00:00+00:00,2184.007547607422,sl,-1.940861443500373e-05
long,3510,2024-03-12 03:00:00+00:00,2184.491602294922,0.05744622127182708,0.01258004628846818,0.12900231442340893,3512.0,2024-03-12 05:00:00+00:00,2181.1088511962894,sl,-3.204300734344723e-05
long,3513,2024-03-12 06:00:00+00:00,2182.4906022949217,0.05749704796790009,0.01258004628846818,0.12900231442340893,3518.0,2024-03-12 11:00:00+00:00,2176.7111488037112,sl,-4.581753226892128e-05
long,3563,2024-03-13 19:00:00+00:00,2178.988852294922,0.05758681014980668,0.01258004628846818,0.12900231442340893,3571.0,2024-03-14 02:00:00+00:00,2175.8114523925783,sl,-3.091006118687104e-05
long,3572,2024-03-14 03:00:00+00:00,2177.388198852539,0.057627362358193046,0.01258004628846818,0.12900231442340893,3574.0,2024-03-14 05:00:00+00:00,2172.013547607422,sl,-4.3568397209855726e-05
long,3575,2024-03-14 06:00:00+00:00,2173.9863522949217,0.05771502280106596,0.01258004628846818,0.12900231442340893,3581.0,2024-03-14 12:00:00+00:00,2165.9165000000003,sl,-5.9116313807688e-05
long,3582,2024-03-14 13:00:00+00:00,2167.9833522949216,0.058138164649791275,0.012638033123819087,0.1319016561909543,3585.0,2024-03-14 14:30:00+00:00,2162.867976196289,sl,-4.2399784790295546e-05
long,3586,2024-03-14 15:00:00+00:00,2162.58075,0.05828093536657765,0.012638033123819087,0.1319016561909543,3609.0,2024-03-15 11:00:00+00:00,2169.9145000000003,sl,3.0352921052096846e-05
long,3698,2024-03-18 18:00:00+00:00,2164.0815,0.058242286399016824,0.012638033123819087,0.1319016561909543,3711.0,2024-03-19 05:00:00+00:00,2159.6196011962893,sl,-3.865395708401077e-05
long,3712,2024-03-19 06:00:00+00:00,2160.7798011474606,0.05806139670448239,0.01258004628846818,0.12900231442340893,3713.0,2024-03-19 07:00:00+00:00,2157.720648803711,sl,-3.0377748761622204e-05
long,3715,2024-03-19 09:00:00+00:00,2157.378198852539,0.06128340694873066,0.01325765241939775,0.16288262096988748,3719.0,2024-03-19 13:00:00+00:00,2153.222898803711,sl,-3.8757075223042335e-05
long,3720,2024-03-19 13:30:00+00:00,2157.2280994262696,0.061285295702966584,0.01325765241939775,0.16288262096988748,3740.0,2024-03-20 04:00:00+00:00,2158.7201488037113,sl,-4.094901687790288e-06
long,3759,2024-03-20 18:00:00+00:00,2186.692897705078,0.05763358597339592,0.012638033123819087,0.1319016561909543,3780.0,2024-03-21 13:00:00+00:00,2193.003047607422,sl,2.3924281334586822e-05
long,3781,2024-03-21 13:30:00+00:00,2187.343125,0.057353465031561975,0.01258004628846818,0.12900231442340893,3782.0,2024-03-21 14:00:00+00:00,2177.310702392578,sl,-7.002707558434038e-05
long,3784,2024-03-21 15:00:00+00:00,2177.4881022949216,0.0578745493849789,0.012638033123819087,0.1319016561909543,3799.0,2024-03-22 01:00:00+00:00,2174.3122023925785,sl,-3.105652266099825e-05
long,3870,2024-03-24 17:00:00+00:00,2168.6637460327147,0.05810823792463401,0.012638033123819087,0.1319016561909543,3877.0,2024-03-25 00:00:00+00:00,2165.716648803711,sl,-2.980171278827006e-05
long,3878,2024-03-25 01:00:00+00:00,2177.388198852539,0.05787368254780742,0.012638033123819087,0.1319016561909543,3880.0,2024-03-25 03:00:00+00:00,2170.514297607422,sl,-5.2422189776467904e-05
long,3881,2024-03-25 04:00:00+00:00,2171.6853977050782,0.05802261581473737,0.012638033123819087,0.1319016561909543,3883.0,2024-03-25 06:00:00+00:00,2165.4167500000003,sl,-4.902538805081588e-05
long,3884,2024-03-25 07:00:00+00:00,2168.0834999999997,0.058116161100778885,0.012638033123819087,0.1319016561909543,3901.0,2024-03-25 18:30:00+00:00,2172.1134732055666,sl,1.0884243155145337e-05
long,3902,2024-03-25 19:00:00+00:00,2173.186147705078,0.05798033524240351,0.012638033123819087,0.1319016561909543,3909.0,2024-03-26 01:00:00+00:00,2168.915,sl,-3.744040096707411e-05
long,3910,2024-03-26 02:00:00+00:00,2172.285551147461,0.060845941522033015,0.01325765241939775,0.16288262096988748,3911.0,2024-03-26 03:00:00+00:00,2169.614601196289,sl,-2.9551891141742798e-05
long,3913,2024-03-26 05:00:00+00:00,2174.3866988525388,0.05794444034590859,0.012638033123819087,0.1319016561909543,3914.0,2024-03-26 06:00:00+00:00,2170.714148803711,sl,-3.396027911661921e-05
